Demanda;Mes
145813;1
136500;2
163073;3
172993;4
167497;5
154475;6
181397;7
176281;8
167421;9
167373;10
165123;11
142861;12
152431;1
135879;2
164545;3
163821;4
170690;5
148437;6
169071;7
176528;8
167344;9
171546;10
167206;11
144718;12
166542;1
131859;2
102899;3
165514;4
158136;5
153139;6
168503;7
171274;8
176524;9
176732;10
171578;11
150965;12
168707;1
139179;2
161487;3
161394;4
164113;5
136443;6
159694;7
181421;8
184487;9
188043;10
186444;11
177167;12
193791;1
154932;2
167680;3
171823;4
166187;5
151046;6
176916;7
170559;8
164074;9
174551;10
171217;11
165141;12
181213;1
156308;2
160359;3
160802;4
161621;5
144900;6
168047;7
167142;8
156323;9
166110;10
167411;11
158179;12
186110;1
146735;2
182163;3
165578;4
164819;5
155198;6
179555;7
168715;8
177503;9
184688;10
172416;11
172061;12
