Mes;Demanda
1101;145813
1102;136500
1103;163073
1104;172993
1105;167497
1106;154475
1107;181397
1108;176281
1109;167421
1110;167373
1111;165123
1112;142861
1201;152431
1202;135879
1203;164545
1204;163821
1205;170690
1206;148437
1207;169071
1208;176528
1209;167344
1210;171546
1211;167206
1212;144718
1301;166542
1302;131859
1303;102899
1304;165514
1305;158136
1306;153139
1307;168503
1308;171274
1309;176524
1310;176732
1311;171578
1312;150965
1401;168707
1402;139179
1403;161487
1404;161394
1405;164113
1406;136443
1407;159694
1408;181421
1409;184487
1410;188043
1411;186444
1412;177167
1501;193791
1502;154932
1503;167680
1504;171823
1505;166187
1506;151046
1507;176916
1508;170559
1509;164074
1510;174551
1511;171217
1512;165141
1601;181213
1602;156308
1603;160359
1604;160802
1605;161621
1606;144900
1607;168047
1608;167142
1609;156323
1610;166110
1611;167411
1612;158179
1701;186110
1702;146735
1703;182163
1704;165578
1705;164819
1706;155198
1707;179555
1708;168715
1709;177503
1710;184688
1711;172416
1712;172061
